annee,n_obs,slope,intercept,rvalue,pvalue,stderr,corr_pearson
1962,24,0.5591589229093504,4345839344.164124,0.9977754145703992,2.251308370419571e-27,0.00796505899645191,0.9977754145703993
1963,24,0.5611612928890409,4974436493.476257,0.9975113084324172,7.724148464755696e-27,0.008456461974834847,0.9975113084324171
1964,24,0.5803402500877717,5971054889.978706,0.9974756241885707,9.032163243543119e-27,0.008808192752386106,0.9974756241885707
1965,24,0.6048570742188359,6346150453.241234,0.997420708732664,1.1441751265319032e-26,0.009280000744050413,0.9974207087326638
1966,24,0.6269198626823915,7291340546.650497,0.9974628782675894,9.546114249801835e-27,0.009539244024421025,0.9974628782675895
1967,24,0.6345551923010476,8026470159.644829,0.9974448304924688,1.0319369943859901e-26,0.009689836126823106,0.9974448304924689
1968,25,0.6626300779051207,6553771906.391159,0.9972803805687961,1.476853450333433e-27,0.0102108885921978,0.9972803805687963
1969,25,0.6851282910227072,7183400658.91185,0.9973196623334378,1.2495559265419739e-27,0.010480744776975238,0.9973196623334377
1970,25,0.691380987884104,7168638051.802399,0.9979609371033847,5.399767135990406e-29,0.009220379154264713,0.9979609371033848
1971,97,0.7175147595295339,553580328.13731,0.9844188078297259,1.6022439390001846e-73,0.013149406252260513,0.9844188078297259
1972,97,0.7589646767472582,2085303820.505745,0.9810367785126755,1.6722325741730462e-69,0.01538426669063168,0.9810367785126757
1973,97,0.8289640968586448,5006402059.8869705,0.9753015388374101,4.1397468075964135e-64,0.01926134711738127,0.97530153883741
1974,97,0.915610790372832,7847184058.686195,0.9715429057481512,3.173620414612022e-61,0.022902637922269937,0.9715429057481512
1975,98,1.0121716691854221,9099653276.067177,0.9624536867920263,3.626971651501406e-56,0.02913547331352613,0.9624536867920265
1976,98,1.050227705873895,9285348433.868767,0.9638397778791442,6.159044602881235e-57,0.0296354536645835,0.9638397778791441
1977,98,1.129955096915012,11461319543.564072,0.9555519796415333,1.0158839332268286e-52,0.03558214670889266,0.9555519796415338
1978,98,1.2466987880260236,15820803335.227379,0.9314841897516485,6.033349773466142e-44,0.049692564554127065,0.9314841897516483
1979,98,1.3958825491413318,18561066731.04167,0.9348490528424486,5.828416433027114e-45,0.054107277288912875,0.9348490528424486
1980,101,1.5696371959732551,21100193240.348785,0.9323937082897247,1.509655072219432e-45,0.06115383751895071,0.9323937082897241
1981,102,1.7679742418887876,14569566535.614548,0.9419619727843584,3.341565084573989e-49,0.06301141674419065,0.9419619727843587
1982,102,1.874497658045316,8236328656.545319,0.9448232218621918,2.862970595349596e-50,0.06499090400789834,0.9448232218621918
1983,102,2.008465566381106,2112394844.9976501,0.94352728723233,8.851994383510167e-50,0.0705219921858355,0.9435272872323304
1984,102,2.109050968618933,-4072351634.928528,0.9453276185059346,1.831487365799954e-50,0.07275872855316264,0.9453276185059347
1985,104,2.231331193053395,-8763878800.286957,0.946070417135775,9.782052286283112e-52,0.0756542437167955,0.9460704171357751
1986,104,2.415344410632727,-488527097.2558594,0.9193689547563736,4.027382841215996e-43,0.10233389968248566,0.9193689547563734
